weibo_id user_id time emotional_level fans_num at_flag topic_flag url_flag content_length time_step follow_num depth1 depth2 depth3 depth4 depth5 depth6 depth7 depth8 depth9
3794305741726764 2724513 20:47:26 4.14057168584403 20963 0 0 0 25 4 20963 3 3 9 9 9 9 9 9 9
3794545218812248 7460165 12:39:02 5.6079256057330005 101550 0 0 0 17 2 101550 1 1 2 2 2 2 2 2 2
3794726233244929 7387806 00:38:19 26.377874047238546 2143 1 0 0 116 1 2143 0 1 1 1 1 1 4 4 4
3795261795455671 8189779 12:06:27 7.265501421007599 549 0 0 0 17 2 549 4 6 12 12 12 12 12 12 12
3795438593411753 7298946 23:48:59 33.4229095698018 35548 2 0 1 177 4 35548 3 3 3 3 3 3 4 4 4
3795659825938762 7900610 14:28:05 36.05611954839914 31584 0 2 0 165 3 31584 1 1 1 1 2 2 2 2 2
3795746757084016 8276724 20:13:31 26.96410823770453 8596 0 0 0 203 4 8596 3 3 3 4 4 4 4 4 4
3796681650863771 7333613 10:08:27 27.652843786593962 529 0 0 0 216 2 529 0 0 0 0 1 1 1 1 1
3796728916283233 8185330 13:16:16 5.372827806919999 5518 2 0 0 23 3 5518 3 3 3 4 4 4 4 4 4
3796729965180936 4895687 13:20:26 1.0 6995 0 0 0 9 3 6995 2 2 3 5 5 5 5 6 6
3797156814967306 2217860 17:36:35 28.833040663523086 156 2 0 0 172 3 156 1 2 2 2 2 2 2 2 2
3797216076678733 2454480 21:32:05 17.419286887226008 7503 0 4 0 29 4 7503 3 3 3 3 3 3 4 4 4
3798181051425066 7844201 13:26:32 17.67283385161145 64812 0 0 1 116 3 64812 3 3 3 3 3 3 3 3 3
3798189180370960 7097284 13:58:50 8.315413632339299 47351 0 0 0 73 3 47351 0 1 1 1 1 1 2 2 2
3798198495991425 4147331 14:35:51 20.61541305367345 161383 0 0 0 69 3 161383 2 2 2 2 2 2 2 2 2
3798916133235508 4207083 14:07:28 21.832452329595228 2751 0 2 0 139 3 2751 1 2 2 3 3 3 3 3 3
3799389896034048 5257388 21:30:04 26.07249273683535 77620 0 0 0 149 4 77620 6 7 7 7 7 7 7 7 7
3799656683503241 8147310 15:10:10 8.8625621558814 1009720 1 2 0 49 3 1009720 2 2 3 3 3 3 3 3 3
3799745723705598 3412439 21:03:59 12.843619216246 2232 1 2 0 54 4 2232 4 4 4 4 4 4 4 4 4
3799763532748605 7340700 22:14:45 22.11911926305789 59862 0 0 0 136 4 59862 1 1 2 2 2 3 3 3 3
3799781879458316 5197678 23:27:38 48.229875003457785 6660 2 0 1 83 4 6660 2 2 2 2 2 3 4 4 4
3799989379214920 8226564 13:12:11 35.768151222154 3769 0 0 0 215 3 3769 1 1 1 1 1 2 2 2 2
3799991124223194 4116903 13:19:06 18.437334326593948 176722 0 2 1 69 3 176722 0 0 0 0 0 1 1 1 1
3800152709866262 3690534 00:01:12 18.727511096301 21 0 0 0 37 1 21 1 2 4 4 4 4 4 4 4
3800434197815351 7726162 18:39:44 5.87425213781183 561 1 0 0 76 3 561 5 5 5 5 5 5 5 5 5
3800445342010878 3412439 19:24:01 14.814523238689 2232 1 2 0 34 4 2232 4 4 4 4 4 4 4 4 4
3800772279918683 5125609 17:03:09 37.114402399297035 65139 0 2 0 203 3 65139 0 0 0 0 0 0 1 1 1
3800799237000717 7298946 18:50:16 19.14690386080045 35548 0 2 0 93 3 35548 4 5 5 5 8 8 8 8 8
3800902211727370 7772844 01:39:27 28.179262538413948 8360 2 0 0 128 1 8360 0 0 0 0 2 5 5 5 5
3800920259259917 2454480 02:51:10 15.240543611963105 7503 0 2 1 54 1 7503 2 2 2 2 2 2 3 3 3
3801041781149795 8262832 10:54:03 36.63362001437578 2989 0 0 2 174 2 2989 1 1 1 1 1 2 2 13 13
3801398778859596 8113848 10:32:38 12.461257834370501 10247 0 2 1 21 2 10247 1 1 1 3 3 3 3 3 6
3801469478012479 2804309 15:13:34 28.001299894957942 21568 0 0 0 131 3 21568 0 0 0 0 1 1 1 1 1
3801887587575504 7988947 18:54:59 8.662820107044 8048 0 0 1 7 3 8048 5 5 5 5 5 5 5 5 5
3801904201359379 2454480 20:00:56 22.360932187777106 7503 0 6 0 56 4 7503 4 4 4 4 4 4 4 4 4
3802088175551683 8239221 08:12:03 15.849488648032 321766 0 0 0 80 2 321766 2 4 4 4 4 4 4 4 4
