weibo_id user_id time emotional_level repost_num follow_num at_flag topic_flag url_flag content_length time_step fans_num width1 width2 width3 width4 width5 width6 width7 width8 width9 width10 width11 width12
3794305741726764 2724513 20:47:26 4.14057168584403 1021 128 0 0 0 7 3 20963 115 147 232 233 500 595 669 687 695 798 831 848
3794545218812248 7460165 12:39:02 5.6079256057330005 125 162 0 0 0 6 1 101550 28 41 54 60 77 83 93 98 103 109 112 115
3794726233244929 7387806 00:38:19 26.377874047238546 1317 92 1 0 0 41 0 2143 0 0 1 1 1 1 1 1 1 957 1058 1103
3794986804085757 8091415 17:53:44 36.06294372445221 467 123 0 0 0 42 2 68 0 0 0 0 0 0 0 0 0 0 0 0
3795261795455671 8189779 12:06:27 7.265501421007599 214 165 0 0 0 6 1 549 8 26 38 56 111 148 154 158 174 187 215 215
3795438593411753 7298946 23:48:59 33.4229095698018 1000 62 2 0 1 53 3 35548 16 27 30 33 100 112 122 138 213 845 901 909
3795659825938762 7900610 14:28:05 36.05611954839914 926 22 1 2 0 40 2 31584 5 14 16 17 24 28 33 37 47 67 139 224
3795746757084016 8276724 20:13:31 26.96410823770453 177 387 0 0 0 40 3 8596 13 21 27 32 39 48 58 61 63 129 148 153
3796681650863771 7333613 10:08:27 27.652843786593962 446 99 0 0 0 54 1 529 0 0 0 0 0 0 0 8 37 182 205 214
3796728916283233 8185330 13:16:16 5.372827806919999 666 221 2 0 0 6 2 5518 32 81 115 142 202 245 341 440 503 547 602 621
3796729965180936 4895687 13:20:26 1.0 608 92 0 0 0 2 2 6995 31 67 95 125 219 258 339 384 410 439 559 578
3797156814967306 2217860 17:36:35 28.833040663523086 371 16 3 0 0 58 2 156 0 2 3 23 68 91 106 117 121 134 141 183
3797216076678733 2454480 21:32:05 17.419286887226008 240 9 0 4 0 23 3 7503 117 137 156 164 176 208 218 218 221 237 239 239
3798181051425066 7844201 13:26:32 17.67283385161145 966 124 0 0 4 44 2 64812 53 96 125 147 209 246 297 324 359 396 453 467
3798189180370960 7097284 13:58:50 8.315413632339299 120 29 0 0 0 18 2 47351 0 0 0 1 4 7 8 9 11 30 44 56
3798198495991425 4147331 14:35:51 20.61541305367345 727 141 0 0 0 13 2 161383 61 117 149 164 347 413 470 508 557 578 606 622
3798916133235508 4207083 14:07:28 21.832452329595228 187 393 0 2 0 33 2 2751 7 9 10 12 27 32 64 91 109 123 143 158
3799362482287109 7850936 19:41:07 42.447988684413 156 327 0 2 1 47 3 72927 0 0 0 0 0 0 0 0 0 0 0 0
3799389896034048 5257388 21:30:04 26.07249273683535 210 37 0 0 0 27 3 77620 48 49 85 104 150 166 169 172 173 192 192 195
3799656683503241 8147310 15:10:10 8.8625621558814 450 98 1 2 0 14 2 1009720 69 117 154 181 271 323 364 383 402 424 429 437
3799745723705598 3412439 21:03:59 12.843619216246 700 242 1 2 0 25 3 2232 214 328 397 430 531 569 586 592 594 687 694 694
3799763532748605 7340700 22:14:45 22.11911926305789 237 157 0 0 0 35 3 59862 0 43 76 120 192 203 205 206 213 227 229 229
3799781879458316 5197678 23:27:38 48.229875003457785 1095 52 2 0 1 41 3 6660 38 53 64 72 85 87 90 92 145 314 373 423
3799989379214920 8226564 13:12:11 35.768151222154 84 232 0 0 0 45 2 3769 3 5 5 5 5 6 6 6 39 78 81 83
3799991124223194 4116903 13:19:06 18.437334326593948 1064 281 0 2 1 19 2 176722 0 0 0 0 0 0 0 0 201 1051 1052 1055
3800152709866262 3690534 00:01:12 18.727511096301 910 235 0 0 0 15 0 21 1 1 1 9 21 26 30 32 140 801 867 877
3800434197815351 7726162 18:39:44 5.87425213781183 819 178 1 0 0 5 2 561 285 402 434 506 772 792 808 813 813 815 816 816
3800445342010878 3412439 19:24:01 14.814523238689 786 242 1 2 0 17 3 2232 129 213 378 474 616 657 691 694 698 721 759 760
3800772279918683 5125609 17:03:09 37.114402399297035 674 39 0 2 0 44 2 65139 0 0 0 0 0 0 0 0 0 35 413 675
3800799237000717 7298946 18:50:16 19.14690386080045 819 62 0 2 1 42 2 35548 26 60 124 192 347 455 563 623 628 733 799 803
3800902211727370 7772844 01:39:27 28.179262538413948 390 302 3 0 0 40 0 8360 0 0 0 0 0 0 0 13 209 358 370 371
3800920259259917 2454480 02:51:10 15.240543611963105 175 9 0 2 1 31 0 7503 9 18 21 21 23 29 63 117 154 171 174 174
3801041781149795 8262832 10:54:03 36.63362001437578 1414 168 1 0 2 48 1 2989 1 1 2 2 7 21 50 77 129 369 924 1375
3801398778859596 8113848 10:32:38 12.461257834370501 412 275 0 2 1 10 1 10247 2 3 3 4 6 7 13 34 48 51 55 65
3801469478012479 2804309 15:13:34 28.001299894957942 250 91 0 0 0 34 2 21568 0 0 0 0 0 0 0 22 71 204 210 210
3801887587575504 7988947 18:54:59 8.662820107044 534 106 0 0 1 5 2 8048 14 35 50 122 345 447 503 508 508 535 535 535
3801904201359379 2454480 20:00:56 22.360932187777106 348 9 0 6 0 40 3 7503 157 158 193 211 297 327 337 338 339 346 347 347
3802088175551683 8239221 08:12:03 15.849488648032 1311 79 0 0 0 27 1 321766 82 126 187 240 399 554 686 762 861 986 1117 1149
3802203476923393 1632334 15:50:13 41.93698552699914 149 58 0 2 0 38 2 11406 0 0 0 0 0 0 0 0 0 0 120 143
3802213073663911 3340395 16:28:21 24.591990863602014 192 47 1 0 7 61 2 5406 0 0 0 0 2 5 7 7 7 37 71 105
3802282266728500 1691074 21:03:18 18.712103813796002 176 3 0 0 0 21 3 65 24 47 64 73 94 107 119 119 120 135 141 142
3802842303729501 7145560 10:08:41 5.686001937070981 1241 38 0 4 0 46 1 19548 15 90 185 323 711 841 1055 1112 1177 1220 1238 1239
3803051724534107 3354595 00:00:51 31.357146015866675 159 34 0 0 1 31 0 1937 9 10 15 18 26 31 33 39 99 144 152 155
3803309175939078 2574642 17:03:51 -0.2381253053700001 1033 1 0 0 0 1 2 50458 305 420 421 503 659 767 875 902 909 925 942 945
3803311654212220 6369283 17:13:43 23.904771409373303 305 1 1 2 0 29 2 2 0 0 0 0 0 0 7 45 96 306 306 306
3803432257452570 8069239 01:12:57 6.8573104593081995 909 577 0 0 0 9 0 81303 31 55 85 98 142 153 183 274 467 641 679 699
3803640408350365 6774077 15:00:03 30.927346793940398 829 104 0 2 0 36 2 48443 0 0 0 0 0 0 0 0 0 0 315 830
3803774839881773 7460165 23:54:15 15.146518474813252 135 162 0 0 0 14 3 101550 29 44 52 55 65 71 72 75 94 121 123 125
3803934840274650 1518228 10:30:01 64.61786057561785 387 10 5 2 3 62 1 480 9 20 31 51 104 147 203 219 239 287 316 332
3803943307826527 8268893 11:03:41 21.1185447689692 288 79 0 2 1 24 1 77318 0 0 0 0 0 0 0 0 0 0 8 223
3803962124012624 6362038 12:18:27 16.30022955733095 494 132 3 2 1 28 1 685 0 1 3 6 6 6 7 8 8 9 9 9
3804046076969956 4457122 17:52:03 38.922531006463814 1429 95 4 0 1 54 2 7997 3 8 25 51 87 142 209 236 252 368 534 731
3804083964201357 1778466 20:22:35 34.19795614364741 972 33 1 2 0 38 3 9340 61 108 153 170 208 882 928 932 934 949 963 969
3804385572504876 7017144 16:21:05 4.720497911812 1370 68 0 0 0 2 2 331675 194 308 392 454 602 790 879 935 970 1018 1067 1112
3804715924276512 7298946 14:13:47 46.18853432014076 182 62 0 0 0 51 2 35548 30 38 50 61 81 107 130 150 160 170 178 180
3804739261497124 7097284 15:46:31 7.381404478671 119 29 0 0 0 3 2 47351 0 0 0 0 1 1 2 2 3 23 54 56
3804791475672737 3035885 19:14:00 25.37364055528349 554 11 0 2 1 24 3 42 0 0 6 6 12 16 44 77 128 354 555 555
3805106312902574 1778466 16:05:03 9.828660174207602 708 33 4 3 0 23 2 9340 44 84 125 156 281 349 668 685 693 703 705 706
3805199884141837 6319345 22:16:51 41.125354931052215 479 168 3 2 0 51 3 1161 12 22 27 28 36 37 39 39 42 56 82 456
3805237259430995 5170199 00:45:23 16.497224239417427 151 478 1 0 0 30 0 353 0 0 0 0 1 1 1 2 3 3 4 4
3805533208915108 8216680 20:21:23 17.155220892674 1251 147 0 0 0 13 3 267284 186 262 333 372 528 626 681 705 716 921 1018 1068
3805543191297707 5257388 21:01:03 29.58512160141089 898 37 0 0 0 42 3 77620 72 156 200 237 484 712 776 791 806 859 873 876
3805895035064796 4513619 20:19:09 14.386796243593256 149 27 0 2 0 14 3 1159 16 28 38 49 60 72 79 81 81 128 134 138
3806196048083875 7097284 16:15:16 4.527675086537 198 29 0 0 0 4 2 47351 0 1 3 4 8 8 13 17 19 26 82 102
3806262561364598 4244695 20:39:34 28.319441905927995 1296 59 0 0 0 36 3 3524 453 454 455 715 1001 1082 1141 1168 1170 1238 1262 1268
